"","mso_calc_type","region","season.annual.avg_loss","season.annual.beekeepers","season.annual.colonies","season.annual.exclusive_beekeepers","season.annual.exclusive_colonies","season.annual.operation.backyard","season.annual.operation.commercial","season.annual.operation.sideline","season.annual.total_loss","season.summer.avg_loss","season.summer.beekeepers","season.summer.colonies","season.summer.exclusive_beekeepers","season.summer.exclusive_colonies","season.summer.operation.backyard","season.summer.operation.commercial","season.summer.operation.sideline","season.summer.total_loss","season.winter.avg_loss","season.winter.beekeepers","season.winter.colonies","season.winter.exclusive_beekeepers","season.winter.exclusive_colonies","season.winter.operation.backyard","season.winter.operation.commercial","season.winter.operation.sideline","season.winter.total_loss","state","year"
"790","MSO out","North East",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New Hampshire","2008/09"
"791","MSO out","North East",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New Jersey","2008/09"
"792","MSO out","South West",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New Mexico","2008/09"
"793","MSO out","North East",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,    30.48,    25.00, 12882.00,   100.00,   100.00,    13.00,     6.00,     6.00,    32.39,"New York","2008/09"
"794","MSO out","South East",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,    33.21,    51.00,  7635.00,   100.00,   100.00,    37.00,     2.00,    12.00,    39.43,"North Carolina","2008/09"
"795","MSO out","Northern Rockies and Plains",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"North Dakota","2008/09"
"796","MSO out","Ohio Valley",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,    53.70,     9.00,    51.00,   100.00,   100.00,     9.00,     0.00,     0.00,    44.64,"Ohio","2008/09"
"797","MSO out","South",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oklahoma","2008/09"
"798","MSO out","North East",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,    33.98,   257.00,  6459.00,   100.00,   100.00,   231.00,     1.00,    25.00,    35.05,"Pennsylvania","2008/09"
"799","MSO out","Noncontiguous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Puerto Rico","2008/09"
"800","MSO out","North East",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,    59.81,     5.00,    30.00,   100.00,   100.00,     5.00,     0.00,     0.00,    40.62,"Rhode Island","2008/09"
"801","MSO out","South East",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South Carolina","2008/09"
"802","MSO out","Northern Rockies and Plains",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,    11.37,     6.00,  1854.00,   100.00,   100.00,     5.00,     1.00,     0.00,    33.42,"South Dakota","2008/09"
"803","MSO out","Ohio Valley",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,     6.49,     7.00,    42.00,   100.00,   100.00,     7.00,     0.00,     0.00,     8.06,"Tennessee","2008/09"
"804","MSO out","South",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Texas","2008/09"
"805","MSO out","South West",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,    23.45,    26.00, 13621.00,   100.00,   100.00,    15.00,     7.00,     4.00,    18.32,"Utah","2008/09"
"806","MSO out","North East",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Vermont","2008/09"
"807","MSO out","South East",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,    44.25,    36.00,   161.00,   100.00,   100.00,    36.00,     0.00,     0.00,    46.41,"Virginia","2008/09"
"808","MSO out","North West",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,    36.17,     5.00,    54.00,   100.00,   100.00,     5.00,     0.00,     0.00,    18.52,"Washington","2008/09"
"809","MSO out","Ohio Valley",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"West Virginia","2008/09"
"810","MSO out","Upper Mid West",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,    39.32,    17.00,  3871.00,   100.00,   100.00,     8.00,     3.00,     6.00,    44.67,"Wisconsin","2008/09"
"811","MSO out","Northern Rockies and Plains",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wyoming","2008/09"
"812","MSO out","South East",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,    33.87,    44.00,  1293.00,   100.00,   100.00,    38.00,     0.00,     6.00,    27.84,"Alabama","2009/10"
"813","MSO out","Noncontiguous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Alaska","2009/10"
"814","MSO out","South West",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arizona","2009/10"
"815","MSO out","South",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,    25.41,    48.00,   440.00,   100.00,   100.00,    47.00,     0.00,     1.00,    23.18,"Arkansas","2009/10"
"816","MSO out","West",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,    43.03,   104.00, 21510.00,   100.00,   100.00,    86.00,    10.00,     8.00,    38.65,"California","2009/10"
"817","MSO out","South West",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,    42.62,    94.00,   927.00,   100.00,   100.00,    92.00,     0.00,     2.00,    36.23,"Colorado","2009/10"
"818","MSO out","North East",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,    50.09,    51.00,   283.00,   100.00,   100.00,    51.00,     0.00,     0.00,    46.46,"Connecticut","2009/10"
"819","MSO out","North East",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"District of Columbia","2009/10"
"820","MSO out","North East",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,    53.65,    14.00,    88.00,   100.00,   100.00,    14.00,     0.00,     0.00,    53.61,"Delaware","2009/10"
"821","MSO out","South East",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,    27.27,   137.00,  4025.00,   100.00,   100.00,   126.00,     2.00,     9.00,    45.17,"Florida","2009/10"
"822","MSO out","South East",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,    42.32,    80.00,   638.00,   100.00,   100.00,    78.00,     0.00,     2.00,    38.29,"Georgia","2009/10"
"823","MSO out","Noncontiguous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,    13.10,     7.00,    47.00,   100.00,   100.00,     7.00,     0.00,     0.00,    23.08,"Hawaii","2009/10"
"824","MSO out","North West",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,    45.78,    25.00,   211.00,   100.00,   100.00,    24.00,     0.00,     1.00,    27.57,"Idaho","2009/10"
"825","MSO out","Ohio Valley",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,    44.11,    43.00,   260.00,   100.00,   100.00,    42.00,     0.00,     1.00,    49.63,"Illinois","2009/10"
"826","MSO out","Ohio Valley",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,    48.03,    81.00,   757.00,   100.00,   100.00,    79.00,     0.00,     2.00,    57.85,"Indiana","2009/10"
"827","MSO out","Upper Mid West",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,    57.72,    53.00,   636.00,   100.00,   100.00,    51.00,     0.00,     2.00,    68.28,"Iowa","2009/10"
"828","MSO out","South",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,    39.98,     7.00,    76.00,   100.00,   100.00,     7.00,     0.00,     0.00,    46.15,"Kansas","2009/10"
"829","MSO out","Ohio Valley",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,    39.22,    22.00,   376.00,   100.00,   100.00,    21.00,     0.00,     1.00,    67.21,"Kentucky","2009/10"
"830","MSO out","South",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Louisiana","2009/10"
"831","MSO out","North East",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,    20.72,    82.00,   476.00,   100.00,   100.00,    81.00,     0.00,     1.00,    24.51,"Maine","2009/10"
"832","MSO out","North East",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,    36.38,   161.00,  3348.00,   100.00,   100.00,   157.00,     1.00,     3.00,    37.72,"Maryland","2009/10"
"833","MSO out","North East",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,    46.29,   187.00,  1429.00,   100.00,   100.00,   186.00,     1.00,     0.00,    30.66,"Massachusetts","2009/10"
"834","MSO out","Upper Mid West",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,    49.94,   223.00,  4032.00,   100.00,   100.00,   207.00,     0.00,    16.00,    52.94,"Michigan","2009/10"
"835","MSO out","Upper Mid West",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,    51.86,    28.00,   916.00,   100.00,   100.00,    26.00,     0.00,     2.00,    41.19,"Minnesota","2009/10"
"836","MSO out","South",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,    35.46,    12.00,   372.00,   100.00,   100.00,    10.00,     0.00,     2.00,    41.03,"Mississippi","2009/10"
"837","MSO out","Ohio Valley",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,    36.65,    40.00,   765.00,   100.00,   100.00,    37.00,     0.00,     3.00,    23.52,"Missouri","2009/10"
"838","MSO out","Northern Rockies and Plains",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,    29.47,     9.00,   126.00,   100.00,   100.00,     8.00,     0.00,     1.00,    13.49,"Montana","2009/10"
"839","MSO out","Northern Rockies and Plains",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,    66.90,    12.00,    82.00,   100.00,   100.00,    12.00,     0.00,     0.00,    58.54,"Nebraska","2009/10"
"840","MSO out","West",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nevada","2009/10"
"841","MSO out","North East",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,    36.24,    71.00,   648.00,   100.00,   100.00,    69.00,     0.00,     2.00,    19.21,"New Hampshire","2009/10"
"842","MSO out","N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Other","2015/16"
"843","MSO out","N/A",    35.76,   143.00,309643.00,     0.00,     0.00,    63.00,    68.00,    12.00,    39.75,    17.73,   149.00,330353.00,     0.00,     0.00,    65.00,    72.00,    12.00,    23.72,    26.61,   162.00,338628.00,     0.00,     0.00,    75.00,    71.00,    16.00,    26.40,"MultiStateOperation","2015/16"
"844","MSO out","North East",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,    36.22,    24.00,   123.00,   100.00,   100.00,    24.00,     0.00,     0.00,    39.85,"New Jersey","2009/10"
"845","MSO out","South West",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,    58.23,     9.00,  3034.00,   100.00,   100.00,     8.00,     1.00,     0.00,    37.87,"New Mexico","2009/10"
"846","MSO out","North East",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,    42.69,   139.00,  6927.00,   100.00,   100.00,   123.00,     4.00,    12.00,    31.90,"New York","2009/10"
"847","MSO out","South East",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,    36.38,   183.00,  2427.00,   100.00,   100.00,   179.00,     1.00,     3.00,    53.51,"North Carolina","2009/10"
"848","MSO out","Northern Rockies and Plains",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,    30.44,     8.00,  8328.00,   100.00,   100.00,     2.00,     3.00,     3.00,    14.10,"North Dakota","2009/10"
"849","MSO out","Ohio Valley",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,    44.35,   197.00,  1681.00,   100.00,   100.00,   193.00,     0.00,     4.00,    47.98,"Ohio","2009/10"
"850","MSO out","South",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,    34.28,     9.00,   134.00,   100.00,   100.00,     8.00,     0.00,     1.00,    39.71,"Oklahoma","2009/10"
"851","MSO out","North West",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,    56.21,    44.00,  1060.00,   100.00,   100.00,    41.00,     0.00,     3.00,    61.86,"Oregon","2009/10"
"852","MSO out","North East",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,    46.93,   529.00,  5101.00,   100.00,   100.00,   512.00,     0.00,    17.00,    45.23,"Pennsylvania","2009/10"
"853","MSO out","North East",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,    41.11,    62.00,   245.00,   100.00,   100.00,    62.00,     0.00,     0.00,    35.27,"Rhode Island","2009/10"
"854","MSO out","South East",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,    37.47,   112.00,  1434.00,   100.00,   100.00,   108.00,     0.00,     4.00,    41.53,"South Carolina","2009/10"
"855","MSO out","Northern Rockies and Plains",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South Dakota","2009/10"
"856","MSO out","Ohio Valley",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,    40.23,    61.00,   558.00,   100.00,   100.00,    59.00,     0.00,     2.00,    33.72,"Tennessee","2009/10"
"857","MSO out","South",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,    30.64,    49.00,  4301.00,   100.00,   100.00,    44.00,     1.00,     4.00,    53.41,"Texas","2009/10"
"858","MSO out","South West",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,    46.06,    60.00,  1027.00,   100.00,   100.00,    57.00,     1.00,     2.00,    32.76,"Utah","2009/10"
"859","MSO out","North East",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,    39.26,    64.00,  1846.00,   100.00,   100.00,    62.00,     1.00,     1.00,    17.05,"Vermont","2009/10"
"860","MSO out","South East",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,    38.05,   466.00,  2999.00,   100.00,   100.00,   462.00,     0.00,     4.00,    37.87,"Virginia","2009/10"
"861","MSO out","North West",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,    42.13,   133.00,  1136.00,   100.00,   100.00,   131.00,     0.00,     2.00,    33.05,"Washington","2009/10"
"862","MSO out","Ohio Valley",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,    53.12,   107.00,   850.00,   100.00,   100.00,   105.00,     0.00,     2.00,    51.61,"West Virginia","2009/10"
"863","MSO out","Upper Mid West",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,    59.35,   143.00,  4017.00,   100.00,   100.00,   136.00,     2.00,     5.00,    54.28,"Wisconsin","2009/10"
"864","MSO out","Northern Rockies and Plains",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wyoming","2009/10"
"865","MSO out","South East",    25.74,    18.00,   295.00,   100.00,   100.00,    17.00,     0.00,     1.00,    13.18,    25.42,    19.00,   298.00,   100.00,   100.00,    18.00,     0.00,     1.00,     8.46,    14.98,    33.00,   466.00,   100.00,   100.00,    32.00,     0.00,     1.00,    10.82,"Alabama","2010/11"
"866","MSO out","Noncontiguous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Alaska","2010/11"
"867","MSO out","South West",    27.14,     5.00,    14.00,   100.00,   100.00,     5.00,     0.00,     0.00,    33.33,    12.38,     5.00,    14.00,   100.00,   100.00,     5.00,     0.00,     0.00,    13.04,    26.44,     7.00,    41.00,   100.00,   100.00,     7.00,     0.00,     0.00,    31.37,"Arizona","2010/11"
"868","MSO out","South",    22.02,    12.00,    39.00,   100.00,   100.00,    12.00,     0.00,     0.00,    38.98,    12.83,    12.00,    39.00,   100.00,   100.00,    12.00,     0.00,     0.00,    24.56,    23.20,    41.00,   285.00,   100.00,   100.00,    41.00,     0.00,     0.00,    31.06,"Arkansas","2010/11"
"869","MSO out","West",    41.32,   113.00,  9988.00,   100.00,   100.00,   103.00,     7.00,     3.00,    32.53,    11.47,   117.00, 10093.00,   100.00,   100.00,   107.00,     7.00,     3.00,    18.51,    42.35,   271.00, 31625.00,   100.00,   100.00,   247.00,    11.00,    13.00,    40.03,"California","2010/11"
"870","MSO out","South West",    33.58,    60.00,   321.00,   100.00,   100.00,    59.00,     0.00,     1.00,    35.83,    12.05,    61.00,   323.00,   100.00,   100.00,    60.00,     0.00,     1.00,     7.64,    32.33,   133.00,   935.00,   100.00,   100.00,   131.00,     0.00,     2.00,    28.72,"Colorado","2010/11"
"871","MSO out","North East",    47.97,    36.00,   148.00,   100.00,   100.00,    36.00,     0.00,     0.00,    57.08,     8.96,    36.00,   148.00,   100.00,   100.00,    36.00,     0.00,     0.00,     9.66,    50.96,    97.00,   502.00,   100.00,   100.00,    96.00,     0.00,     1.00,    56.87,"Connecticut","2010/11"
"872","MSO out","North East",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"District of Columbia","2010/11"
"873","MSO out","North East",    10.71,     6.00,    19.00,   100.00,   100.00,     6.00,     0.00,     0.00,    18.52,     8.63,     6.00,    19.00,   100.00,   100.00,     6.00,     0.00,     0.00,    14.81,    30.00,    14.00,    53.00,   100.00,   100.00,    14.00,     0.00,     0.00,    58.43,"Delaware","2010/11"
"874","MSO out","South East",    30.19,    51.00,   388.00,   100.00,   100.00,    50.00,     0.00,     1.00,    26.95,    13.10,    53.00,   508.00,   100.00,   100.00,    51.00,     0.00,     2.00,    10.94,    24.12,   124.00,  2055.00,   100.00,   100.00,   118.00,     1.00,     5.00,    40.74,"Florida","2010/11"
"875","MSO out","South East",    28.99,    58.00,   252.00,   100.00,   100.00,    57.00,     0.00,     1.00,    42.38,    13.08,    58.00,   252.00,   100.00,   100.00,    57.00,     0.00,     1.00,    25.53,    27.23,   134.00,  1329.00,   100.00,   100.00,   130.00,     0.00,     4.00,    38.00,"Georgia","2010/11"
"876","MSO out","Noncontiguous",    52.60,    31.00,  4987.00,   100.00,   100.00,    27.00,     1.00,     3.00,     7.87,    16.95,    33.00,  8690.00,   100.00,   100.00,    28.00,     2.00,     3.00,    26.83,    44.64,    42.00,  5392.00,   100.00,   100.00,    36.00,     1.00,     5.00,     7.77,"Hawaii","2010/11"
"877","MSO out","North West",    58.28,    11.00,    28.00,   100.00,   100.00,    11.00,     0.00,     0.00,    46.15,    17.89,    11.00,    28.00,   100.00,   100.00,    11.00,     0.00,     0.00,    27.45,    34.29,    22.00,    96.00,   100.00,   100.00,    22.00,     0.00,     0.00,    26.92,"Idaho","2010/11"
"878","MSO out","Ohio Valley",    48.69,    52.00,   322.00,   100.00,   100.00,    50.00,     0.00,     2.00,    41.92,     8.33,    52.00,   322.00,   100.00,   100.00,    50.00,     0.00,     2.00,    13.26,    54.81,   133.00,   998.00,   100.00,   100.00,   131.00,     0.00,     2.00,    43.98,"Illinois","2010/11"
"879","MSO out","Ohio Valley",    39.95,    58.00,   258.00,   100.00,   100.00,    57.00,     0.00,     1.00,    39.56,     8.58,    58.00,   258.00,   100.00,   100.00,    57.00,     0.00,     1.00,     7.71,    41.98,   152.00,  1205.00,   100.00,   100.00,   148.00,     0.00,     4.00,    46.15,"Indiana","2010/11"
"880","MSO out","Upper Mid West",    51.16,    12.00,   126.00,   100.00,   100.00,    11.00,     0.00,     1.00,    80.62,    15.66,    12.00,   126.00,   100.00,   100.00,    11.00,     0.00,     1.00,    57.56,    44.87,    27.00,   727.00,   100.00,   100.00,    25.00,     0.00,     2.00,    66.06,"Iowa","2010/11"
"881","MSO out","South",    27.38,     9.00,    54.00,   100.00,   100.00,     9.00,     0.00,     0.00,    23.46,     6.59,     9.00,    54.00,   100.00,   100.00,     9.00,     0.00,     0.00,     8.64,    22.57,    20.00,   393.00,   100.00,   100.00,    18.00,     0.00,     2.00,    14.50,"Kansas","2010/11"
"882","MSO out","Noncontiguous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Alaska","2016/17"
"883","MSO out","Ohio Valley",    43.00,    20.00,   254.00,   100.00,   100.00,    19.00,     0.00,     1.00,    34.06,    14.46,    20.00,   254.00,   100.00,   100.00,    19.00,     0.00,     1.00,    14.04,    28.61,    54.00,   901.00,   100.00,   100.00,    46.00,     0.00,     8.00,    31.11,"Kentucky","2010/11"
"884","MSO out","South",    28.80,    10.00,    98.00,   100.00,   100.00,     9.00,     0.00,     1.00,    26.11,    17.93,    11.00,   102.00,   100.00,   100.00,    10.00,     0.00,     1.00,    14.49,    18.20,    16.00,   591.00,   100.00,   100.00,    13.00,     0.00,     3.00,    23.49,"Louisiana","2010/11"
"885","MSO out","North East",    63.52,    39.00,   156.00,   100.00,   100.00,    39.00,     0.00,     0.00,    49.82,    15.08,    39.00,   156.00,   100.00,   100.00,    39.00,     0.00,     0.00,    15.88,    48.72,   101.00,   637.00,   100.00,   100.00,   100.00,     0.00,     1.00,    39.07,"Maine","2010/11"
"886","MSO out","North East",    41.47,    81.00,   369.00,   100.00,   100.00,    80.00,     0.00,     1.00,    46.90,    16.51,    83.00,   372.00,   100.00,   100.00,    82.00,     0.00,     1.00,    25.29,    37.06,   168.00,  1378.00,   100.00,   100.00,   164.00,     0.00,     4.00,    49.94,"Maryland","2010/11"
"887","MSO out","North East",    58.56,    73.00,   252.00,   100.00,   100.00,    73.00,     0.00,     0.00,    61.06,    14.29,    75.00,   257.00,   100.00,   100.00,    75.00,     0.00,     0.00,    19.82,    46.56,   209.00,  2297.00,   100.00,   100.00,   207.00,     2.00,     0.00,    28.97,"Massachusetts","2010/11"
"888","MSO out","Upper Mid West",    63.75,    92.00,  1290.00,   100.00,   100.00,    84.00,     1.00,     7.00,    75.03,    15.72,    92.00,  1290.00,   100.00,   100.00,    84.00,     1.00,     7.00,    14.60,    63.44,   273.00,  4707.00,   100.00,   100.00,   259.00,     1.00,    13.00,    66.32,"Michigan","2010/11"
"889","MSO out","Upper Mid West",    65.02,    21.00,   309.00,   100.00,   100.00,    20.00,     0.00,     1.00,    59.34,    13.58,    21.00,   309.00,   100.00,   100.00,    20.00,     0.00,     1.00,    17.15,    55.43,    45.00,  9818.00,   100.00,   100.00,    42.00,     1.00,     2.00,    60.38,"Minnesota","2010/11"
"890","MSO out","South",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,    10.99,    11.00,   126.00,   100.00,   100.00,    11.00,     0.00,     0.00,     6.06,"Mississippi","2010/11"
"891","MSO out","Ohio Valley",    32.03,    69.00,   366.00,   100.00,   100.00,    69.00,     0.00,     0.00,    27.13,    12.33,    69.00,   366.00,   100.00,   100.00,    69.00,     0.00,     0.00,    10.22,    25.96,   161.00,  2350.00,   100.00,   100.00,   154.00,     0.00,     7.00,    28.59,"Missouri","2010/11"
"892","MSO out","Northern Rockies and Plains",    77.30,    10.00,    88.00,   100.00,   100.00,    10.00,     0.00,     0.00,    81.89,    20.98,    10.00,    88.00,   100.00,   100.00,    10.00,     0.00,     0.00,    20.16,    61.43,    19.00,   121.00,   100.00,   100.00,    19.00,     0.00,     0.00,    74.40,"Montana","2010/11"
"893","MSO out","Northern Rockies and Plains",    44.08,     7.00,    64.00,   100.00,   100.00,     7.00,     0.00,     0.00,    39.57,    14.23,     7.00,    64.00,   100.00,   100.00,     7.00,     0.00,     0.00,    10.45,    32.14,    13.00,   759.00,   100.00,   100.00,    11.00,     0.00,     2.00,    14.51,"Nebraska","2010/11"
"894","MSO out","West",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nevada","2010/11"
